time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,latitude,longitude
2020-01-01,25.4,22.5,0.0,64,14.7167,-17.4677
2020-01-02,24.8,21.3,0.0,64,14.7167,-17.4677
2020-01-03,24.7,22.3,0.0,60,14.7167,-17.4677
2020-01-04,24.3,21.3,0.0,64,14.7167,-17.4677
2020-01-05,23.3,20.1,0.0,65,14.7167,-17.4677
2020-01-06,22.8,20.1,0.0,66,14.7167,-17.4677
2020-01-07,22.4,20.1,0.0,63,14.7167,-17.4677
2020-01-08,21.7,18.8,0.0,64,14.7167,-17.4677
2020-01-09,21.1,18.6,0.0,67,14.7167,-17.4677
2020-01-10,20.8,18.4,0.0,71,14.7167,-17.4677
2020-01-11,20.9,18.1,0.0,69,14.7167,-17.4677
2020-01-12,20.7,19.0,0.0,71,14.7167,-17.4677
2020-01-13,21.6,19.1,0.0,72,14.7167,-17.4677
2020-01-14,21.0,19.5,0.0,68,14.7167,-17.4677
2020-01-15,21.9,20.2,0.0,70,14.7167,-17.4677
2020-01-16,22.2,20.5,0.0,71,14.7167,-17.4677
2020-01-17,23.1,20.8,0.0,71,14.7167,-17.4677
2020-01-18,23.9,21.1,0.0,66,14.7167,-17.4677
2020-01-19,22.8,21.3,0.0,70,14.7167,-17.4677
2020-01-20,22.0,21.2,0.0,78,14.7167,-17.4677
2020-01-21,22.0,21.2,0.0,79,14.7167,-17.4677
2020-01-22,22.4,21.5,0.0,80,14.7167,-17.4677
2020-01-23,22.6,21.7,0.0,78,14.7167,-17.4677
2020-01-24,22.9,22.0,0.0,78,14.7167,-17.4677
2020-01-25,23.0,22.2,0.0,75,14.7167,-17.4677
2020-01-26,24.7,22.1,0.0,76,14.7167,-17.4677
2020-01-27,25.8,21.4,0.0,74,14.7167,-17.4677
2020-01-28,22.2,21.1,0.0,80,14.7167,-17.4677
2020-01-29,23.3,21.3,0.0,81,14.7167,-17.4677
2020-01-30,23.6,22.4,0.0,70,14.7167,-17.4677
2020-01-31,24.6,22.9,0.0,65,14.7167,-17.4677
2020-02-01,23.1,21.6,0.0,74,14.7167,-17.4677
2020-02-02,22.3,21.6,0.0,85,14.7167,-17.4677
2020-02-03,22.8,21.3,0.0,96,14.7167,-17.4677
2020-02-04,23.7,22.1,0.0,87,14.7167,-17.4677
2020-02-05,25.2,22.8,0.0,72,14.7167,-17.4677
2020-02-06,24.1,22.6,0.0,71,14.7167,-17.4677
2020-02-07,25.0,22.6,0.0,72,14.7167,-17.4677
2020-02-08,24.7,22.9,0.0,68,14.7167,-17.4677
2020-02-09,23.8,22.5,0.0,67,14.7167,-17.4677
2020-02-10,23.9,22.2,0.0,71,14.7167,-17.4677
